image_path,target_text,obscurity_tier
logos/20701.jpg,BOSEDEATH,mid
logos/6592.jpg,WIDOW,famous_ish
logos/58527.png,TERRODROWN,mid
logos/25672.jpg,CREMASTER,mid
logos/1546.jpg,MYSTIK,famous_ish
logos/3243.jpg,FROSTMOON ECLIPSE,famous_ish
logos/13745.gif,DEFLORATION,mid
logos/5703.jpg,LUJURIA,famous_ish
logos/11101.jpg,TERRORAMA,mid
logos/20333.jpg,HOLY BLOOD,mid
logos/18837.jpg,ARS ONIRICA,mid
logos/122036.jpg,MOVIMENTO DAVANGUARDIA ERMETICO,obscure
logos/88101.jpg,CAIN,obscure
logos/85438.jpg,PANDORA,obscure
logos/17213.png,CROM,mid
logos/4268.jpg,WINTERWOLF,famous_ish
logos/2052.gif,AJATTARA,famous_ish
logos/71514.jpg,STRIBOG,obscure
logos/55170.jpg,MOONRISE,mid
logos/54690.png,HEIMDALLS WACHT,mid
logos/34038.jpg,SEVERE STORM,mid
logos/82100.jpg,IMPERIAL BATTLESNAKE,obscure
logos/2824.png,MOURNFUL CONGREGATION,famous_ish
logos/74965.jpg,LA DAMA OSCURA,obscure
logos/69909.jpg,DYSGUSTED,obscure
logos/145.jpg,VADER,famous_ish
logos/69416.jpg,MONIGO,obscure
logos/1047.png,THORNSPAWN,famous_ish
logos/5314.jpg,EXOUSIA,famous_ish
logos/2927.png,ROTTEN SOUND,famous_ish
logos/118666.jpg,RETALIATION,obscure
logos/578.jpg,DETRITUS,famous_ish
logos/39161.gif,PEGASUS,mid
logos/30475.jpg,DEWFALL,mid
logos/13658.jpg,PROFANATION,obscure
logos/78986.jpg,GRAVE FORSAKEN,obscure
logos/27761.jpg,BABOON RISING,mid
logos/1776.jpg,JOEY TAFOLLA,famous_ish
logos/22870.jpg,SAGOTH,mid
logos/13557.png,LOST DREAMS,mid
logos/10491.png,MELANCHOLY PESSIMISM,mid
logos/370.png,TAAKE,famous_ish
logos/95970.jpg,LIFELESS WITHIN,obscure
logos/7907.jpg,WOTAN,mid
logos/33797.jpg,DISFIGURED CORPSE,mid
logos/119648.jpg,SYSTEM BREAKDOWN,obscure
logos/18152.jpg,MORDGRUND,mid
logos/98490.png,SHADES OF DEEP WATER,obscure
logos/69506.jpg,THROUGH ART,obscure
logos/21175.jpg,WAR HEAD,mid
logos/14829.png,CULTUS,mid
logos/77245.png,APPARITION,obscure
logos/20502.jpg,SACRAMENTAL BLOOD,mid
logos/4200.jpg,ENSHADOWED,famous_ish
logos/58192.jpg,BEYOND THE GRAVE,obscure
logos/95773.jpg,GOREVENT,obscure
logos/37130.jpg,DOWN FROM THE WOUND,mid
logos/107825.jpg,NEFASTORETH,obscure
logos/72847.jpg,FUNERARY PIT,obscure
logos/5127.jpg,BLASTHRASH,famous_ish
logos/2309.png,ORPHANED LAND,famous_ish
logos/100463.jpg,DAVE JUSTO,obscure
logos/16486.jpg,SKELETON OF GOD,mid
logos/4943.gif,ASMODEUS,mid
logos/76716.jpg,THE ARCANE ORDER,obscure
logos/6414.jpg,ZAMAK,famous_ish
logos/58243.jpeg,ELECTROZOMBIES,mid
logos/97057.jpg,ETRUSGRAVE,obscure
logos/32861.png,SCAR SYMMETRY,mid
logos/74137.jpg,HABORYN,obscure
logos/123003.jpg,POWERWORLD,obscure
logos/12179.gif,BLASPHEMOUS NOISE TORMENT,mid
logos/1241.jpg,FOREST OF SHADOWS,famous_ish
logos/119631.jpg,FORMLESS TERROR,obscure
logos/18153.jpg,DISASTER,mid
logos/117162.jpg,HALLOWED BUTCHERY,obscure
logos/231.png,AND OCEANS,famous_ish
logos/82808.jpg,INSIDIOUS OMEN,obscure
logos/3517.png,ANARCHUS,famous_ish
logos/44388.jpg,CONCEIVED BY HATE,mid
logos/85588.jpg,BROKEL,obscure
logos/9465.jpg,UNIAO,mid
