image_path,target_text
logos/19934.jpg,DARKTHULE
logos/8647.jpg,BRIGHT OPHIDIA
logos/9232.jpg,KILLHARMONIC
logos/11723.jpg,FUNEBRARUM
logos/3705.jpg,DIVINE EVE
logos/19500.jpg,F T G
logos/24731.jpg,SHAMBLESS
logos/72107.jpg,VANAGLORIA
logos/7714.jpg,MERRIMACK
logos/1085.png,OHTAR
logos/1949.jpg,SEVERANCE
logos/104365.jpg,CEMETERY URN
logos/12581.jpg,MALIGN
logos/41548.jpg,XASTUR
logos/76132.jpg,EVILS ATTACK
logos/129953.jpg,VINTERTHRON
logos/124710.jpg,CIRUGIA MACABRA
logos/13718.jpg,HIEMS
logos/126117.jpg,PANOPTICON
logos/9299.jpg,RWAKE
logos/35661.jpg,OBDURATED
logos/319.jpg,VOMITORY
logos/11534.jpg,LUROR
logos/11808.jpg,GORGON
logos/3191.jpg,ANDRAS
logos/24704.png,COMMUNIC
logos/94685.jpg,DISJONKTATION
logos/81862.jpg,EXALTATION
logos/119624.jpg,TOTAL NEGATION
logos/6554.jpg,LEVIATHAN
logos/16442.jpg,FARMER BOYS
logos/3108.jpg,GODLESS TRUTH
logos/1238.jpg,INFERNAL MAJESTY
logos/15609.jpg,MALEFICARUM
logos/4204.jpg,MORGAIN
logos/49727.png,DUALITY
logos/20049.jpg,SQUADRON
logos/54362.jpg,IN INFERNAL WAR
logos/84111.gif,DEATHRONATION
logos/14817.jpg,TYRANNY
logos/28478.jpg,BAEKDOOSAN
logos/14893.jpg,WARBUTCHER
logos/64125.jpg,BENIGHTED IN SODOM
logos/16411.jpg,LUTEMKRAT
logos/102731.jpg,DR LIVING DEAD
logos/6436.jpg,DISINTER
logos/2277.jpg,STAR ONE
logos/17795.gif,DRUNK HORSE
logos/9085.png,RAM
logos/7736.jpg,OCULTAN
logos/5161.jpg,ON THORNS I LAY
logos/34862.jpg,BLUDGEON
logos/14859.jpg,A GRUESOME FIND
logos/129350.jpg,KEITZER
logos/37604.jpg,DESPONDENT CHANTS
logos/4861.png,ULCERATE
logos/70834.jpg,ENOID
logos/99659.jpg,LUNATIC AFFLICTION
logos/7837.jpg,FACEBREAKER
logos/993.jpg,TUATHA DE DANANN
logos/10090.jpg,NOCTERNITY
logos/9363.jpg,GOLEM
logos/64862.jpg,SONDOR
logos/1943.jpg,SIKFUK
logos/5965.jpg,WWIII
logos/112090.jpg,BLUT UND BODEN
logos/16302.png,BRAINOIL
logos/22802.jpg,NECROART
logos/57321.jpg,PALACE
logos/1149.jpg,PYOGENESIS
logos/26117.gif,NECROMESSIAH
logos/2146.png,MEMORY GARDEN
logos/43175.jpg,ARMAGEDDON
logos/3316.jpg,NODE
logos/90286.jpg,XANADOO
logos/11821.jpg,PRIME EVIL
logos/2143.jpg,RAGNAROK
logos/1222.jpg,ILLDISPOSED
logos/47793.png,BLASTING HATRED
logos/365.jpeg,PARAGON
logos/1692.jpg,ZED YAGO
logos/28773.jpg,MORTAL WISH
logos/6397.jpg,MOON
logos/22797.jpg,THRYMHEYM
logos/139.png,NILE
logos/18690.jpg,REUNION
logos/128267.jpg,RATO RARO
logos/22498.jpg,TESSTIMONY
logos/9344.jpg,DRUDKH
logos/2005.gif,AXEMASTER
logos/26.png,SOILWORK
logos/39251.jpg,STORMCHILD
logos/57247.jpg,SUICIDE SOLUTION
logos/1383.gif,FANTOMAS
logos/45092.jpg,HOUSEBREAKING
logos/17165.jpg,KAMIKAZE
logos/4547.jpg,SEBASTIAN BACH
logos/13227.gif,PURGATORY
logos/87314.jpg,SAVAOTH
